arch,case_name,length,observations,passed_case_observations,cycles_min,cycles_mean,cycles_max,mismatch_sum,error_status_count,latest_run_id
fir_pipe_systolic,impulse,1024,5,5,1297640,1297655.0,1297676,0,0,20260330-113630
fir_pipe_systolic,large_random_buffer,2048,5,5,1854209,1854235.0,1854257,0,0,20260330-113630
fir_pipe_systolic,multitone,2048,5,5,1391287,1391311.8,1391337,0,0,20260330-113630
fir_pipe_systolic,passband_edge_sine,1024,3,3,1806891,1806919.0,1806937,0,0,20260330-113630
fir_pipe_systolic,random_short,1024,5,5,1529157,1529175.8,1529205,0,0,20260330-113630
fir_pipe_systolic,step,1024,5,5,1158807,1158834.6,1158861,0,0,20260330-113630
fir_pipe_systolic,stopband_sine,1024,5,5,1575401,1575445.8,1575473,0,0,20260330-113630
fir_pipe_systolic,transition_sine,1024,3,3,1668051,1668055.667,1668059,0,0,20260330-113630
vendor_fir_ip,impulse,1024,5,5,1297627,1297654.0,1297687,0,0,20260330-113805
vendor_fir_ip,large_random_buffer,2048,5,5,1854248,1854261.0,1854295,0,0,20260330-113805
vendor_fir_ip,multitone,2048,5,5,1391300,1391314.6,1391332,0,0,20260330-113805
vendor_fir_ip,passband_edge_sine,1024,3,3,1806908,1806924.333,1806948,0,0,20260330-113805
vendor_fir_ip,random_short,1024,5,5,1529150,1529183.4,1529214,0,0,20260330-113805
vendor_fir_ip,step,1024,5,5,1158800,1158818.6,1158843,0,0,20260330-113805
vendor_fir_ip,stopband_sine,1024,5,5,1575448,1575475.4,1575502,0,0,20260330-113805
vendor_fir_ip,transition_sine,1024,3,3,1668043,1668051.667,1668068,0,0,20260330-113805
